timedelta,category,subcategory1,n_tokens_title,title_polarity,title_subjectivity,n_tokens_preview,preview_polarity,preview_subjectivity,n_tokens_content,content_polarity,content_subjectivity,prop_non_stop,prop_unique_non_stop,author,day_of_week,month,num_imgs,num_hrefs,num_tags,author_category,n_tokens_cross,polarity_cross,subjectivity_cross,title_cross,preview_cross,content_cross,prop_cross,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
643,Things To Do,Activities,12,0.05,0.45,23,0.0,0.5,565,0.27755022755022757,0.5406537906537906,1.0354477611940298,0.35984848484848486,Kezia Tan,2,6,6,23,2,More than 200 posts,155940,0.0,0.12164710289710289,0.2700000000000001,0.0,84.78309918134676,0.37260430800542743,11.491382,4.0560365,8.099593,5.1482515,6.522726,10.226337,2.8277516,3.9454508,5.781131,4.535967,11.797351,3.2160017,2.324671,6.863597,5.342229
1328,Things To Do,Monthly Lobangs,17,1.0,0.3,31,0.4444444444444444,0.5444444444444444,1806,0.13897808441558443,0.44711327792577793,1.1017997750281214,0.37991858887381275,Rachel Yohannan,3,8,21,0,5,50 to 100 posts,951762,0.06176803751803752,0.07302850206121038,5.1,7.501234567901234,112.22293807051275,0.41859421575016825,-1.0571933,-0.24773721,5.3581758,4.6972513,3.861822,5.8584995,1.4288771,4.4509797,5.1293373,5.448231,-2.5709581,0.8421381,2.3429196,6.133395,5.9129834
1089,Local,Local,15,0.0,0.65,19,-0.075,0.5499999999999999,1288,0.15714790764790765,0.4167734487734488,1.1692789968652038,0.31433823529411764,Jacinth Chia,4,3,22,32,6,Less than 50 posts,367080,-0.0,0.14899650793650793,0.0,-0.78375,84.35765716407947,0.36754909644108424,11.106335,3.8664649,8.310569,6.5927978,4.9214,11.263513,3.196823,3.9652743,5.608206,4.8876357,8.4139385,3.3700168,3.026711,6.3789535,4.8164253
468,Things To Do,Sales & Promotions,17,0.0,0.0,25,0.0,1.0,985,0.2145637408568443,0.48952144598696323,1.1071800208116545,0.3900523560209424,Kelvin Eng,2,12,9,20,3,Less than 50 posts,418625,0.0,0.0,0.0,0.0,103.45804939040526,0.4318581756569019,4.04337,0.720508,6.1977324,5.168937,4.5005407,6.0101438,1.3499794,4.7921743,4.782612,5.3892303,3.353368,1.5180928,2.5501554,5.8438535,6.3533163
104,Things To Do,Events,17,-0.4,0.4,12,0.4,0.5,531,0.11532025844525842,0.5074158017908018,1.0469667318982387,0.39094650205761317,Brendan Yee,2,12,4,9,2,Less than 50 posts,108324,-0.018451241351241352,0.10148316035816037,-2.7200000000000006,2.4000000000000004,31.071635664315064,0.4093079816063073,6.405421,1.0174779,6.732722,5.402709,5.176566,11.104856,4.001862,3.22835,6.0083895,4.5850744,2.9678438,2.3166547,3.052423,5.7337236,5.581391
770,Things To Do,Beauty & Wellness,15,0.0,0.0,19,0.5,0.625,1142,0.15682205853847644,0.4587435118778402,1.0834829443447038,0.32421052631578945,Megan Khoe,1,2,7,1,5,50 to 100 posts,325470,0.0,0.0,0.0,5.9375,82.15673833994003,0.3512765756401776,7.4627767,2.4194067,7.24759,5.912284,4.1223187,9.83986,3.3835318,3.298619,5.3909,5.2866054,9.809958,3.8731008,3.184756,6.352879,3.7351768
564,Local,Perspectives,19,-0.1,0.2,28,0.10000000000000002,0.5666666666666667,1632,0.03707815906721019,0.45187405862588365,0.9945321992709599,0.2841091492776886,Billy Tran,4,9,5,15,1,50 to 100 posts,868224,-0.00037078159067210193,0.05121239331093348,-0.38000000000000006,1.5866666666666671,27.343602221692645,0.2825556970641411,10.93613,3.1180258,8.307382,6.189071,6.6229053,11.813386,2.5755923,6.3106413,4.9972296,6.132286,12.43042,3.62161,2.4684443,6.967993,4.026468
551,Local,Misc,17,0.13636363636363635,0.45454545454545453,13,0.30000000000000004,0.5,497,0.17462121212121212,0.3981818181818181,1.1136842105263158,0.459915611814346,Josiah Neo,3,9,7,2,2,100 to 200 posts,109837,0.007143595041322314,0.09049586776859501,1.0537190082644627,1.9500000000000002,34.55690289256197,0.5122007550521874,11.393414,3.5534449,8.660729,7.074133,5.776704,3.644375,0.36035424,4.6253266,4.63212,5.0378532,9.879827,3.7906964,2.848212,6.426092,3.9852967
911,Things To Do,Activities,15,-0.2,0.3,18,-0.15555555555555559,0.2888888888888889,627,-0.026881720430107538,0.32258064516129037,1.1445182724252492,0.4180602006688963,Farzana Fattah,0,9,6,10,5,100 to 200 posts,169290,-0.0008363201911589013,0.027956989247311832,-0.8999999999999999,-0.8088888888888892,-5.437044745057236,0.4784775386393182,7.418404,2.3155968,7.3271728,5.7931547,4.41711,10.574342,3.2271228,3.013395,5.806052,4.5373034,6.9472637,2.9501941,2.7242923,5.829177,5.3842688
434,Local,Hacks,17,-0.00833333333333334,0.3666666666666667,21,0.0,0.2333333333333333,1478,0.1641535657325131,0.4170653907496013,1.1324728260869565,0.2793103448275862,Raewyn Koh,1,1,8,19,3,100 to 200 posts,527646,-0.0,0.035682261208576996,-0.05194444444444449,0.0,101.18797558998266,0.3163113755622189,12.551767,4.8172483,8.331179,4.9054794,5.940229,10.761272,3.5215778,5.080126,5.9144816,7.464296,11.580486,3.8304167,2.91644,6.4060755,3.922165
