timedelta,n_tokens_title,n_tokens_preview,preview_subjectivity,n_tokens_content,prop_non_stop,prop_unique_non_stop,num_imgs,num_hrefs,n_tokens_cross,subjectivity_cross,content_cross,subcategory1_Attractions,subcategory1_Australia,subcategory1_Beauty & Wellness,subcategory1_Food Guides,subcategory1_Malaysia,subcategory1_Sales & Promotions,author_category_100 to 200 posts,author_category_More than 200 posts,0,1,2,3,4,0,1,2,3,4,0,1,2,3,4
208,17,18,0.0,1371,1.1772151898734178,0.3779816513761468,15,47,419526,0.0,94.88134546659506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1662364,2.8581975,7.0140395,5.6926255,4.9317856,10.834948,3.39606,6.708102,6.112923,4.943618,3.94134,0.50954866,1.3809365,5.446248,4.692225
791,18,20,0.0,485,1.1258278145695364,0.4,8,13,174600,0.0,42.39273722347876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.450344,4.491973,8.2029505,6.7427225,5.325706,10.100083,4.5163155,5.970055,6.848006,4.7354603,5.9286823,1.5720217,1.4795363,6.033385,5.0859594
844,18,21,0.5666666666666668,1641,0.9830917874396136,0.31974921630094044,15,9,620298,0.09829003317191017,75.6766323327981,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.496597,4.4462705,7.6838627,6.7525134,6.180367,11.210479,3.643551,5.54557,6.448874,4.8257723,9.22696,3.3674638,2.2318788,6.246875,5.4541225
1176,17,27,0.6397727272727273,2875,1.1407954945441745,0.36095238095238097,49,71,1319625,0.12214856010342404,162.68983789729825,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0292102,0.5179567,5.9013,5.37726,3.789491,10.539638,3.920752,5.7016544,6.82005,4.6934924,-0.9833766,-0.41735896,2.2357075,5.015685,4.316223
1062,20,27,0.0,491,1.0813704496788008,0.4652173913043478,5,16,265140,0.0,42.49569279100529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.044001,4.1663446,7.6890693,7.230193,6.0639634,9.84703,3.7876694,4.864518,6.0140743,4.298083,6.0496674,2.377335,2.092742,6.285539,5.0274515
1321,18,31,0.4,1729,1.1231671554252198,0.38118022328548645,16,50,964782,0.0,70.10792004671559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6535798,0.5596004,6.151797,5.2482753,3.7053018,4.3645735,0.5574616,4.7551336,3.9665146,5.7529197,-1.5504569,-0.43895704,2.3308914,4.9970703,4.257
729,11,28,0.4,599,0.9982876712328768,0.37583892617449666,10,2,184492,0.0,81.1958109894555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.348311,4.616315,8.399673,6.329515,5.1493917,9.954017,3.8128304,4.774692,5.7880654,4.490647,6.4028497,2.1218145,1.4452462,6.2754145,5.142036
27,19,7,0.75,1011,1.1884498480243162,0.3556085918854415,10,13,134463,0.3731241629464285,194.05569290483663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5948162,0.63208854,6.2100067,5.445195,3.7409468,10.808408,3.813998,6.535534,6.1533403,5.2778506,1.9476447,0.69578654,1.8059702,6.1018305,4.663314
519,15,26,0.45454545454545453,2017,0.9440870856011875,0.2818590704647676,16,5,786630,0.0992962656527438,57.37946901500145,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.326274,3.9922948,7.7812514,4.4843235,5.270377,11.199904,4.8063645,7.7018156,3.8982453,4.7239733,11.344598,4.1041617,2.2326717,6.1831455,4.8697667
917,17,22,0.0,1125,1.1343552750225427,0.3747178329571106,7,12,420750,0.0,122.33917063334923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52656,5.0614285,7.702236,5.9638567,6.6277037,7.3268213,2.1016479,5.279807,5.575066,5.0972705,2.5921798,0.6961238,1.5500188,5.9415526,5.263763
1199,14,24,0.6166666666666667,1488,1.0756756756756756,0.29248366013071897,13,13,499968,0.1803105970418471,42.64473228057327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.413547,2.5680873,6.9874907,5.085767,4.8788986,7.2304735,2.3664043,5.4888883,4.650138,5.560922,10.129834,3.9896386,2.0909412,6.0685353,5.3927393
643,12,23,0.5,565,1.0354477611940298,0.35984848484848486,6,23,155940,0.12164710289710289,84.78309918134676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.790409,5.1529555,7.5777493,5.7110167,7.0005054,9.29754,3.4514582,6.1475973,6.569538,4.7685857,11.155601,3.5456054,2.211513,5.888438,4.5035295
